,dice,hd95,avd,recall,f1,model_name
0,0.6904011,4.582576,5.6350365,0.75,0.59016395,dice_factor0.25
1,0.70118153,2.9742641,9.844771,0.74285716,0.6605081,dice_factor0.25
2,0.7295697,3.7416575,12.324031,0.6551724,0.6444879,dice_factor0.25
3,0.81266207,1.4142135,11.6838875,0.74358976,0.6510204,dice_factor0.25
4,0.64521146,3.7416575,15.490534,0.8214286,0.817475,dice_factor0.25
5,0.6510452,8.786324,0.67658997,0.74358976,0.62929475,dice_factor0.25
6,0.7607308,7.0,6.1682706,0.70731705,0.5492897,dice_factor0.25
7,0.4199497,12.903124,70.957275,0.185567,0.30931923,dice_factor0.25
8,0.6841914,8.6602545,47.542458,0.597561,0.52537525,dice_factor0.25
9,0.58994627,9.909571,37.126675,0.47863248,0.61693585,dice_factor0.25
10,0.809004,1.4142135,12.482766,0.8135593,0.8051307,dice_factor0.25
11,0.8297578,3.0,15.982171,0.7692308,0.7679466,dice_factor0.25
12,0.77919364,2.828427,1.4722655,0.8020833,0.7721898,dice_factor0.25
13,0.69518715,5.0990195,41.70429,0.40350878,0.5516755,dice_factor0.25
14,0.9316165,1.4142135,2.4249065,0.7777778,0.68292683,dice_factor0.25
15,0.7492813,13.553572,43.156734,0.9,0.32286996,dice_factor0.25
16,0.74767226,6.4031243,18.427727,0.4814815,0.5864662,dice_factor0.25
17,0.5363129,10.0,60.674572,0.27659574,0.42235216,dice_factor0.25
18,0.72710454,4.1231055,17.39865,0.64285713,0.6993243,dice_factor0.25
19,0.23172906,16.170954,160.7717,0.25531915,0.30690536,dice_factor0.25
20,0.7105359,3.8320773,31.820969,0.5897436,0.6258503,dice_factor0.25
21,0.68182874,6.0827627,15.933362,0.29508197,0.4176334,dice_factor0.25
22,0.72577065,5.0990195,24.42087,0.66129035,0.73741007,dice_factor0.25
23,0.48223898,24.166092,58.055557,0.53846157,0.3853211,dice_factor0.25
24,0.7989451,5.0,27.583677,0.17410715,0.29211873,dice_factor0.25
25,0.799253,4.582576,13.59727,0.20731707,0.3260582,dice_factor0.25
26,0.7422348,6.78233,24.32846,0.41304347,0.557844,dice_factor0.25
27,0.51501274,7.605882,53.24869,0.20238096,0.31952158,dice_factor0.25
28,0.8169886,2.236068,17.446346,0.5882353,0.626718,dice_factor0.25
29,0.6452919,6.2204633,26.875957,0.22077923,0.3131579,dice_factor0.25
30,0.7822081,5.196152,13.977357,0.25454545,0.3814714,dice_factor0.25
31,0.76696426,1.4142135,25.715092,0.6231884,0.6825397,dice_factor0.25
32,0.44385734,29.166761,51.8591,0.25581396,0.36666667,dice_factor0.25
33,0.5187773,7.3484693,29.613094,0.46875,0.5537721,dice_factor0.25
34,0.702974,3.0,7.4720125,0.31111112,0.41410694,dice_factor0.25
