,dice,hd95,avd,recall,f1,model_name
0,0.80523044,3.3166249,13.410681,0.40625,0.52243805,damnii_wd1e-4
1,0.55118585,13.665568,145.18135,0.6060606,0.26578072,damnii_wd1e-4
2,0.68591833,9.486833,37.602318,0.31746033,0.44465926,damnii_wd1e-4
3,0.74906164,4.8989797,12.844957,0.575,0.6313726,damnii_wd1e-4
4,0.7837568,2.828427,14.164948,0.45,0.46370023,damnii_wd1e-4
5,0.7945688,5.0990195,20.572975,0.5584416,0.6387484,damnii_wd1e-4
6,0.8387382,7.87082,7.1951666,0.6875,0.5398773,damnii_wd1e-4
7,0.7030921,9.959874,26.51313,0.5945946,0.50762933,damnii_wd1e-4
8,0.8040278,8.602325,27.553316,0.36585367,0.46904913,damnii_wd1e-4
9,0.75894064,11.220509,9.536082,0.33333334,0.3392857,damnii_wd1e-4
10,0.86089665,1.7320508,4.037449,0.61538464,0.49797022,damnii_wd1e-4
11,0.5472497,14.069668,70.61069,0.5,0.28125,damnii_wd1e-4
12,0.61673874,6.0,41.27451,0.35,0.44871795,damnii_wd1e-4
13,0.38752785,18.506514,35.695538,0.4347826,0.41666666,damnii_wd1e-4
14,0.80667084,2.828427,11.59292,0.5181818,0.56453675,damnii_wd1e-4
15,0.33304423,20.657904,80.876976,0.51785713,0.42962962,damnii_wd1e-4
16,0.25249457,22.086191,527.12933,0.85714287,0.18513323,damnii_wd1e-4
17,0.8548014,3.4641016,3.7656238,0.4820144,0.58372426,damnii_wd1e-4
18,0.18156424,18.482412,780.8219,0.9444444,0.22077923,damnii_wd1e-4
19,0.79468685,4.472136,4.4052863,0.54477614,0.5847899,damnii_wd1e-4
20,0.5752381,14.866069,113.83433,0.7878788,0.3500374,damnii_wd1e-4
21,0.6994994,8.814722,56.198853,0.6315789,0.44859812,damnii_wd1e-4
22,0.80238515,4.1231055,1.5510095,0.475,0.4592145,damnii_wd1e-4
23,0.48986176,14.773279,122.67658,0.6166667,0.45834166,damnii_wd1e-4
24,0.86858153,6.0,7.129743,0.46226415,0.48877805,damnii_wd1e-4
25,0.32988358,20.691784,111.69355,0.5344828,0.38705203,damnii_wd1e-4
26,0.817147,4.1231055,21.929588,0.6216216,0.576401,damnii_wd1e-4
27,0.44365484,20.333466,114.69649,0.8333333,0.31578946,damnii_wd1e-4
28,0.4577894,15.913825,45.356663,0.4512195,0.5608185,damnii_wd1e-4
29,0.680377,6.0,21.562246,0.62222224,0.63015753,damnii_wd1e-4
30,0.39248434,21.292015,53.51682,0.4,0.48,damnii_wd1e-4
31,0.65218043,3.7416575,43.140827,0.7234042,0.6847405,damnii_wd1e-4
32,0.6919114,13.352891,2.3421588,0.6184211,0.70541686,damnii_wd1e-4
33,0.54606366,7.429015,28.516747,0.68,0.52577317,damnii_wd1e-4
34,0.7014519,15.033297,19.521912,0.46666667,0.41584158,damnii_wd1e-4
35,0.5645244,11.399557,7.0436506,0.5813953,0.599631,damnii_wd1e-4
36,0.73006046,3.1622777,13.2650385,0.68292683,0.78044325,damnii_wd1e-4
37,0.65952563,10.014875,25.539257,0.5714286,0.53333336,damnii_wd1e-4
38,0.53569293,7.615773,52.452366,0.7051282,0.7785534,damnii_wd1e-4
39,0.7251074,4.1231055,12.414567,0.62650603,0.71706784,damnii_wd1e-4
40,0.6293962,7.071068,34.09781,0.5855263,0.7081225,damnii_wd1e-4
41,0.7531328,2.828427,9.29368,0.4642857,0.58672565,damnii_wd1e-4
