,dice,hd95,avd,recall,f1,model_name
0,0.80917096,5.184863,4.2825456,0.5,0.53521127,dice_factor1.75
1,0.5208271,16.309507,145.80312,0.6363636,0.31752577,dice_factor1.75
2,0.77495605,2.4494898,25.409277,0.41269842,0.51291686,dice_factor1.75
3,0.76258445,10.82564,3.1359758,0.6,0.59016395,dice_factor1.75
4,0.7713941,6.3911886,12.3092785,0.575,0.489562,dice_factor1.75
5,0.83624274,3.7076309,10.038349,0.64935064,0.61349696,dice_factor1.75
6,0.82880944,7.602527,4.3756866,0.71875,0.53512305,dice_factor1.75
7,0.8333217,11.344532,0.6038478,0.7837838,0.49069375,dice_factor1.75
8,0.89596593,3.0,11.695363,0.5487805,0.5639585,dice_factor1.75
9,0.7477971,13.0,1.5279824,0.5,0.45454547,dice_factor1.75
10,0.8517054,2.0,9.813592,0.5,0.47619048,dice_factor1.75
11,0.5,17.693218,96.183205,0.6111111,0.3859649,dice_factor1.75
12,0.697289,7.3484693,29.428104,0.45,0.49460256,dice_factor1.75
13,0.37475345,19.772423,66.14173,0.45652175,0.39289054,dice_factor1.75
14,0.80006176,5.0990195,14.834071,0.6636364,0.5807946,dice_factor1.75
15,0.41904762,22.693611,55.785625,0.58928573,0.4228059,dice_factor1.75
16,0.2449149,18.466185,559.9369,0.95238096,0.19900498,dice_factor1.75
17,0.86820734,2.236068,3.4670806,0.64028776,0.7017708,dice_factor1.75
18,0.18358532,19.697716,751.3699,0.9444444,0.14615798,dice_factor1.75
19,0.8058139,9.433981,7.8306212,0.63432837,0.6032988,dice_factor1.75
20,0.5055886,17.832554,159.09479,0.7878788,0.27513227,dice_factor1.75
21,0.717459,10.830492,43.04385,0.65789473,0.4032258,dice_factor1.75
22,0.7831753,3.1622777,15.309533,0.575,0.5845099,dice_factor1.75
23,0.42612752,19.209373,182.45354,0.71666664,0.42866766,dice_factor1.75
24,0.8789936,3.0,6.0587516,0.5943396,0.56805676,dice_factor1.75
25,0.31561998,20.07728,175.60484,0.5689655,0.37714285,dice_factor1.75
26,0.83834505,2.236068,12.407059,0.7432432,0.6266433,dice_factor1.75
27,0.41439688,19.662113,128.43451,0.75,0.22543353,dice_factor1.75
28,0.45844877,15.7002945,5.652759,0.5731707,0.600959,dice_factor1.75
29,0.6167131,7.8740077,5.26173,0.64444447,0.61651677,dice_factor1.75
30,0.45948073,23.853722,5.657492,0.5,0.552381,dice_factor1.75
31,0.68200046,3.7416575,40.790672,0.80851066,0.7417568,dice_factor1.75
32,0.68190855,14.3527,4.887984,0.7105263,0.777804,dice_factor1.75
33,0.55182815,18.040209,53.8756,0.76,0.5,dice_factor1.75
34,0.6582569,16.792856,60.55777,0.8666667,0.4262295,dice_factor1.75
35,0.46365023,7.6811457,4.861111,0.7209302,0.7408514,dice_factor1.75
36,0.7035093,2.2894235,9.876543,0.80487806,0.8233533,dice_factor1.75
37,0.64750576,11.886952,61.173424,0.6857143,0.49952698,dice_factor1.75
38,0.5962525,5.196152,31.457304,0.84615386,0.7963801,dice_factor1.75
39,0.75589156,3.0,4.3456087,0.7108434,0.70063806,dice_factor1.75
40,0.6866908,9.899495,4.6205735,0.71710527,0.76881915,dice_factor1.75
41,0.7186048,6.164414,14.245884,0.60714287,0.6786427,dice_factor1.75
