,dice,hd95,avd,recall,f1,model_name
0,0.79409564,4.9545407,17.36905,0.296875,0.36967978,landonia_early_stop60_lr2e-4_stepdecay30
1,0.4392179,17.14643,165.69948,0.4848485,0.39506173,landonia_early_stop60_lr2e-4_stepdecay30
2,0.5992708,13.490738,45.651432,0.23809524,0.33837935,landonia_early_stop60_lr2e-4_stepdecay30
3,0.66041636,13.2192135,18.038134,0.4875,0.5319693,landonia_early_stop60_lr2e-4_stepdecay30
4,0.67582595,14.071247,10.907216,0.375,0.3760218,landonia_early_stop60_lr2e-4_stepdecay30
5,0.7676183,4.690416,24.588314,0.46753246,0.50819474,landonia_early_stop60_lr2e-4_stepdecay30
6,0.79118097,14.035668,2.6180887,0.5625,0.46753246,landonia_early_stop60_lr2e-4_stepdecay30
7,0.7752677,11.224972,8.538127,0.6486486,0.44715708,landonia_early_stop60_lr2e-4_stepdecay30
8,0.8207024,11.401754,22.701036,0.35365853,0.45091462,landonia_early_stop60_lr2e-4_stepdecay30
9,0.6978044,15.224903,15.537556,0.30952382,0.29714286,landonia_early_stop60_lr2e-4_stepdecay30
10,0.81510675,3.0,21.825628,0.42307693,0.40965518,landonia_early_stop60_lr2e-4_stepdecay30
11,0.29795918,18.878532,174.0458,0.3888889,0.24778761,landonia_early_stop60_lr2e-4_stepdecay30
12,0.58187497,6.708204,48.276142,0.325,0.3625209,landonia_early_stop60_lr2e-4_stepdecay30
13,0.27874565,18.601076,25.984251,0.3043478,0.27743903,landonia_early_stop60_lr2e-4_stepdecay30
14,0.7497463,8.485281,18.00885,0.47272727,0.38821772,landonia_early_stop60_lr2e-4_stepdecay30
15,0.1147083,26.019224,541.1693,0.4642857,0.30293292,landonia_early_stop60_lr2e-4_stepdecay30
16,0.19155134,22.15852,666.24603,0.8095238,0.15912637,landonia_early_stop60_lr2e-4_stepdecay30
17,0.8219364,5.0,6.5639677,0.4676259,0.48203227,landonia_early_stop60_lr2e-4_stepdecay30
18,0.1202159,21.354156,1195.8904,0.8333333,0.09955752,landonia_early_stop60_lr2e-4_stepdecay30
19,0.72287446,9.486833,2.9218736,0.5074627,0.46667293,landonia_early_stop60_lr2e-4_stepdecay30
20,0.39676592,19.252268,233.04868,0.8484849,0.17052375,landonia_early_stop60_lr2e-4_stepdecay30
21,0.6790322,13.379088,50.897766,0.6052632,0.26633582,landonia_early_stop60_lr2e-4_stepdecay30
22,0.74435896,13.601471,30.211258,0.6125,0.33810845,landonia_early_stop60_lr2e-4_stepdecay30
23,0.36760563,18.138357,222.30484,0.5833333,0.23900197,landonia_early_stop60_lr2e-4_stepdecay30
24,0.83725,8.124039,4.9921317,0.4716981,0.41732624,landonia_early_stop60_lr2e-4_stepdecay30
25,0.17355372,21.627527,287.90323,0.36206895,0.17660972,landonia_early_stop60_lr2e-4_stepdecay30
26,0.7687592,10.29563,25.038073,0.6756757,0.3926468,landonia_early_stop60_lr2e-4_stepdecay30
27,0.24778761,22.575426,359.58466,0.75,0.13175675,landonia_early_stop60_lr2e-4_stepdecay30
28,0.39967638,20.508152,33.647377,0.41463414,0.48930377,landonia_early_stop60_lr2e-4_stepdecay30
29,0.569869,13.011521,26.091673,0.4,0.4379562,landonia_early_stop60_lr2e-4_stepdecay30
30,0.27180067,24.779024,64.98471,0.32,0.45839018,landonia_early_stop60_lr2e-4_stepdecay30
31,0.6593637,5.7445626,8.744762,0.65957445,0.64963984,landonia_early_stop60_lr2e-4_stepdecay30
32,0.6205031,15.540262,11.761711,0.4868421,0.5798105,landonia_early_stop60_lr2e-4_stepdecay30
33,0.5603908,10.643298,15.502393,0.52,0.43127963,landonia_early_stop60_lr2e-4_stepdecay30
34,0.62139535,17.253963,14.143426,0.73333335,0.42365888,landonia_early_stop60_lr2e-4_stepdecay30
35,0.48817968,10.630146,32.142857,0.44186047,0.48040456,landonia_early_stop60_lr2e-4_stepdecay30
36,0.66625834,3.7416575,28.46073,0.597561,0.6591686,landonia_early_stop60_lr2e-4_stepdecay30
37,0.54114044,15.254478,25.452976,0.4857143,0.3757999,landonia_early_stop60_lr2e-4_stepdecay30
38,0.44016716,9.273619,60.673958,0.67948717,0.76826245,landonia_early_stop60_lr2e-4_stepdecay30
39,0.6235697,5.0990195,42.201366,0.45783132,0.5453241,landonia_early_stop60_lr2e-4_stepdecay30
40,0.5653863,10.372949,43.70995,0.57894737,0.70436865,landonia_early_stop60_lr2e-4_stepdecay30
41,0.6680598,7.3484693,34.81147,0.41666666,0.5658784,landonia_early_stop60_lr2e-4_stepdecay30
