,dice,hd95,avd,recall,f1,model_name
0,0.7601642,3.1622777,25.422283,0.40625,0.498235,standard_model
1,0.6030702,14.028535,83.523315,0.5151515,0.39899412,standard_model
2,0.78158206,2.828427,26.671215,0.36507937,0.45709124,standard_model
3,0.78068244,5.665625,17.661816,0.5375,0.60002536,standard_model
4,0.7562944,4.472136,28.845362,0.3,0.3844011,standard_model
5,0.8226915,3.1622777,19.467628,0.66233766,0.66083574,standard_model
6,0.8432511,7.2111025,1.8308312,0.71875,0.55920756,standard_model
7,0.869309,8.062258,0.18255863,0.6756757,0.5194306,standard_model
8,0.8614265,3.1622777,19.908041,0.42682928,0.49881235,standard_model
9,0.74038935,18.05547,13.715022,0.3809524,0.35109717,standard_model
10,0.866879,1.4142135,8.417621,0.5769231,0.50947094,standard_model
11,0.4563492,24.839485,7.633588,0.44444445,0.40930232,standard_model
12,0.69789624,4.8989797,37.27941,0.375,0.49336872,standard_model
13,0.3753943,26.117807,33.595802,0.32608697,0.3448276,standard_model
14,0.80267906,5.7445626,11.404867,0.57272726,0.5108497,standard_model
15,0.10095687,28.01785,678.31915,0.4107143,0.23479371,standard_model
16,0.25,23.989525,534.3849,0.8095238,0.17146975,standard_model
17,0.87036884,3.7416575,4.458244,0.48920864,0.5097313,standard_model
18,0.19173929,21.563858,703.76715,0.8333333,0.12158055,standard_model
19,0.7937052,9.486833,9.664659,0.5970149,0.51110435,standard_model
20,0.55501354,21.213203,115.11529,0.8787879,0.26341867,standard_model
21,0.73649234,10.488089,53.646023,0.68421054,0.3161968,standard_model
22,0.76003426,11.734548,4.953871,0.5375,0.44806483,standard_model
23,0.43756166,19.705326,176.87732,0.6333333,0.2857836,standard_model
24,0.86834013,5.0841665,0.44151077,0.44339624,0.477356,standard_model
25,0.27653122,26.0997,132.45967,0.43103448,0.25281546,standard_model
26,0.83432025,4.8989797,19.358595,0.7027027,0.52547836,standard_model
27,0.30883393,23.937418,252.07668,0.7083333,0.11251504,standard_model
28,0.4414843,17.029387,58.546432,0.42682928,0.561944,standard_model
29,0.65809906,6.0,2.6037428,0.6,0.6315789,standard_model
30,0.30751708,44.720707,65.74924,0.28,0.40923077,standard_model
31,0.6649754,4.1231055,29.805065,0.70212764,0.6559006,standard_model
32,0.6793936,12.727922,18.635437,0.59210527,0.66039044,standard_model
33,0.57676154,7.113143,5.07177,0.64,0.569395,standard_model
34,0.66792274,16.504505,11.454184,0.6666667,0.5714286,standard_model
35,0.4960961,7.671254,34.82143,0.5813953,0.66964287,standard_model
36,0.72612107,2.236068,17.533491,0.6707317,0.7390181,standard_model
37,0.67241377,14.5962305,20.18982,0.6571429,0.5373832,standard_model
38,0.60730344,7.81025,39.114326,0.71794873,0.7536571,standard_model
39,0.7838148,4.2426405,4.36601,0.6506024,0.7383038,standard_model
40,0.64827865,8.124039,32.47892,0.57236844,0.7040081,standard_model
41,0.74253464,3.1622777,14.152947,0.5,0.6096257,standard_model
