,dice,hd95,avd,recall,f1,rmse,best_dice,best_avd,best_rmse,model_name
0,0.5466468,7.1414285,53.49345,0.46031746,0.5974762,0.57494056,0.55209166,7.117904,0.5357841,mcdrop_encoderboth_0.3
1,0.87494695,1.4142135,3.879557,0.68,0.71939546,0.4574611,0.8711977,0.13521244,0.46065494,mcdrop_encoderboth_0.3
2,0.6477457,5.477226,23.121056,0.78571427,0.80579215,0.5589195,0.63092464,4.991394,0.5605544,mcdrop_encoderboth_0.3
3,0.5842451,6.0827627,42.232452,0.5416667,0.63950807,0.5290412,0.61782175,4.7180667,0.49285436,mcdrop_encoderboth_0.3
4,0.90920055,1.4142135,4.8689003,0.55,0.63982105,0.4185887,0.9044202,0.86787045,0.4252137,mcdrop_encoderboth_0.3
5,0.41722256,7.3821807,65.93496,0.3877551,0.54892826,0.62359947,0.47498626,52.11382,0.58099157,mcdrop_encoderboth_0.3
6,0.6615532,4.049242,37.66537,0.3030303,0.42553192,0.5547742,0.6761168,18.832685,0.48888564,mcdrop_encoderboth_0.3
7,0.5464921,9.9599,46.60144,0.42735043,0.5768222,0.62108046,0.59679407,32.955715,0.5798379,mcdrop_encoderboth_0.3
8,0.61533904,4.587968,19.893333,0.725,0.788269,0.57411027,0.62001675,2.1333332,0.53495646,mcdrop_encoderboth_0.3
9,0.514023,11.049878,43.412525,0.31944445,0.42536327,0.5450107,0.5314085,15.478762,0.51416266,mcdrop_encoderboth_0.3
10,0.56537104,2.8541632,12.8306875,0.64285713,0.63380283,0.5917856,0.5605634,1.1904762,0.5591584,mcdrop_encoderboth_0.3
11,0.72969085,8.239727,2.3272727,0.75,0.55813956,0.48955154,0.7536467,1.6,0.46672446,mcdrop_encoderboth_0.3
12,0.7936508,2.236068,22.483124,0.53846157,0.6457565,0.4802104,0.80228317,3.8450248,0.45947644,mcdrop_encoderboth_0.3
13,0.91615504,1.4142135,9.348404,0.5797101,0.7089298,0.39315954,0.9147892,4.6849413,0.39477497,mcdrop_encoderboth_0.3
14,0.8751136,1.4142135,15.464609,0.65217394,0.7425743,0.44863802,0.88010883,2.739573,0.43719542,mcdrop_encoderboth_0.3
15,0.8377052,3.0,11.875199,0.7307692,0.772009,0.45364678,0.8363325,0.79592484,0.44629094,mcdrop_encoderboth_0.3
16,0.7511848,2.236068,11.044776,0.5833333,0.53846157,0.5256925,0.7543444,0.37313432,0.5021792,mcdrop_encoderboth_0.3
17,0.7645938,4.1231055,17.310127,0.61538464,0.7178003,0.5166028,0.77207327,2.6265821,0.49662408,mcdrop_encoderboth_0.3
18,0.80930233,1.7320508,7.855127,0.75609756,0.7928389,0.48998165,0.801985,0.15678896,0.49008426,mcdrop_encoderboth_0.3
19,0.7502154,3.0,20.470953,0.6395349,0.7343124,0.52567726,0.75209427,1.3062909,0.51186216,mcdrop_encoderboth_0.3
20,0.7378876,3.6055512,24.917032,0.36792454,0.5115825,0.56842816,0.7475979,14.867915,0.5423805,mcdrop_encoderboth_0.3
21,0.7249342,2.236068,10.26429,0.53333336,0.58800775,0.54018307,0.7244457,0.4917025,0.51213104,mcdrop_encoderboth_0.3
22,0.8262986,1.4142135,8.122488,0.85714287,0.8770764,0.48561966,0.81991774,1.2177819,0.4871383,mcdrop_encoderboth_0.3
23,0.61822766,3.7416575,81.1098,0.8214286,0.6339363,0.54074395,0.64146024,38.72491,0.5315723,mcdrop_encoderboth_0.3
24,0.8205968,2.236068,6.400966,0.515625,0.62099385,0.53238046,0.82387847,0.82930756,0.52723235,mcdrop_encoderboth_0.3
25,0.6134195,7.3484693,34.724583,0.2375,0.37582418,0.6195094,0.63236105,11.235137,0.5905348,mcdrop_encoderboth_0.3
26,0.8196863,3.4641016,4.8617463,0.22077923,0.34023738,0.50244623,0.81811064,0.29550412,0.49959624,mcdrop_encoderboth_0.3
27,0.861707,1.4142135,6.551566,0.79347825,0.80420095,0.46885964,0.85875994,0.55882233,0.4710608,mcdrop_encoderboth_0.3
28,0.8483428,1.4142135,10.122039,0.6707317,0.7223641,0.48434836,0.85088915,2.995932,0.4760653,mcdrop_encoderboth_0.3
29,0.7706148,4.2426405,17.139933,0.23170732,0.34063745,0.5405938,0.78506655,0.9897611,0.540597,mcdrop_encoderboth_0.3
30,0.7506183,4.2426405,21.37998,0.34234235,0.50077873,0.55418265,0.7559197,13.446418,0.53793985,mcdrop_encoderboth_0.3
31,0.40582588,9.093919,53.206997,0.2777778,0.4088586,0.65745056,0.42362654,35.51992,0.6293821,mcdrop_encoderboth_0.3
32,0.74252874,4.614216,14.893617,0.8181818,0.6457399,0.50122565,0.74208146,0.7446809,0.48067498,mcdrop_encoderboth_0.3
33,0.7641149,3.3166249,2.4755597,0.72727275,0.46421662,0.543004,0.7640013,1.7502365,0.52905196,mcdrop_encoderboth_0.3
34,0.5984081,6.4807405,1.8637993,0.33870968,0.48469645,0.5976217,0.60909414,0.7885304,0.5380381,mcdrop_encoderboth_0.3
