,dice,hd95,avd,recall,f1,rmse,best_dice,best_avd,best_rmse,model_name
0,0.50374365,5.196152,54.19214,0.46031746,0.5833918,0.6113299,0.50374365,54.19214,0.6113299,ssn_prehead32_rank15_sdice0.1
1,0.8636559,1.4142135,6.542202,0.68,0.7110622,0.46928424,0.8636559,6.542202,0.46928424,ssn_prehead32_rank15_sdice0.1
2,0.6579521,4.110795,28.829603,0.8214286,0.87772584,0.54593414,0.6579521,28.829605,0.54593414,ssn_prehead32_rank15_sdice0.1
3,0.58192295,6.4031243,40.218643,0.5416667,0.61857253,0.5383432,0.58192295,40.218643,0.5383432,ssn_prehead32_rank15_sdice0.1
4,0.90010583,1.4142135,5.4058027,0.65,0.68646866,0.43206483,0.90010583,5.405803,0.43206483,ssn_prehead32_rank15_sdice0.1
5,0.42874253,6.8545146,64.227646,0.40816328,0.55401665,0.6513175,0.42874253,64.22764,0.6513175,ssn_prehead32_rank15_sdice0.1
6,0.6717412,4.582576,36.420235,0.3030303,0.42780748,0.5444666,0.6717412,36.42023,0.5444666,ssn_prehead32_rank15_sdice0.1
7,0.5818534,9.273619,40.52523,0.43589744,0.57923204,0.60328966,0.5818534,40.52523,0.60328966,ssn_prehead32_rank15_sdice0.1
8,0.59875387,5.7488823,28.8,0.7375,0.7834984,0.58883864,0.59875387,28.8,0.58883864,ssn_prehead32_rank15_sdice0.1
9,0.54344827,8.944272,43.412525,0.375,0.50970876,0.53452253,0.54344827,43.41253,0.53452253,ssn_prehead32_rank15_sdice0.1
10,0.55580866,2.5063303,25.793652,0.64285713,0.6851211,0.61098975,0.55580866,25.793652,0.61098975,ssn_prehead32_rank15_sdice0.1
11,0.71643835,11.558527,12.363636,0.7083333,0.51957977,0.4982332,0.71643835,12.363636,0.4982332,ssn_prehead32_rank15_sdice0.1
12,0.7504406,3.0,33.46052,0.4871795,0.60912454,0.52808243,0.7504406,33.46052,0.52808243,ssn_prehead32_rank15_sdice0.1
13,0.90741163,1.4142135,12.505705,0.6086956,0.69704086,0.40953314,0.90741163,12.505706,0.40953314,ssn_prehead32_rank15_sdice0.1
14,0.86462295,1.4142135,17.622723,0.65217394,0.71518195,0.45867404,0.86462295,17.62272,0.45867404,ssn_prehead32_rank15_sdice0.1
15,0.82441413,3.3166249,17.956064,0.8076923,0.875,0.46615162,0.82441413,17.956064,0.46615162,ssn_prehead32_rank15_sdice0.1
16,0.75019765,1.4142135,11.19403,0.75,0.6,0.52149117,0.75019765,11.19403,0.52149117,ssn_prehead32_rank15_sdice0.1
17,0.74973416,3.1622777,21.455696,0.71153843,0.7848485,0.530802,0.74973416,21.455696,0.530802,ssn_prehead32_rank15_sdice0.1
18,0.8063041,2.0,7.9962373,0.75609756,0.7246165,0.49912462,0.8063041,7.9962373,0.49912462,ssn_prehead32_rank15_sdice0.1
19,0.74781257,3.0,23.20385,0.6976744,0.78175896,0.52545327,0.74781257,23.20385,0.52545327,ssn_prehead32_rank15_sdice0.1
20,0.7076923,4.30077,30.877472,0.35849056,0.50554323,0.5946338,0.7076923,30.877472,0.5946338,ssn_prehead32_rank15_sdice0.1
21,0.6447543,2.4494898,14.8740015,0.51111114,0.55455095,0.59300387,0.6447543,14.874001,0.59300387,ssn_prehead32_rank15_sdice0.1
22,0.8161742,1.4142135,9.943249,0.8035714,0.7734228,0.4979766,0.8161742,9.943249,0.4979766,ssn_prehead32_rank15_sdice0.1
23,0.61031276,4.1231055,79.338844,0.71428573,0.620438,0.5701119,0.61031276,79.338844,0.5701119,ssn_prehead32_rank15_sdice0.1
24,0.82249004,2.0,7.7858295,0.53125,0.6240379,0.5318458,0.82249004,7.785829,0.5318458,ssn_prehead32_rank15_sdice0.1
25,0.5764122,7.615773,48.36205,0.225,0.3627519,0.63907236,0.5764122,48.36205,0.63907236,ssn_prehead32_rank15_sdice0.1
26,0.80378133,3.7416575,4.2566667,0.23376623,0.35198668,0.5197036,0.80378133,4.2566667,0.5197036,ssn_prehead32_rank15_sdice0.1
27,0.8363242,1.4142135,15.480212,0.7717391,0.7866187,0.4995051,0.8363242,15.480211,0.4995051,ssn_prehead32_rank15_sdice0.1
28,0.8315693,1.4142135,16.870064,0.63414633,0.69865644,0.49997312,0.8315693,16.870066,0.49997312,ssn_prehead32_rank15_sdice0.1
29,0.7882459,4.1231055,18.580204,0.2195122,0.33582088,0.5375093,0.7882459,18.580204,0.5375093,ssn_prehead32_rank15_sdice0.1
30,0.72363317,6.0827627,29.198692,0.35135135,0.50723726,0.58773464,0.72363317,29.19869,0.58773464,ssn_prehead32_rank15_sdice0.1
31,0.41731265,8.485281,49.562683,0.31944445,0.4668228,0.6825588,0.41731265,49.562683,0.6825588,ssn_prehead32_rank15_sdice0.1
32,0.7314424,2.7326238,23.723404,0.72727275,0.5714286,0.51548123,0.7314424,23.723404,0.51548123,ssn_prehead32_rank15_sdice0.1
33,0.77194947,3.0,2.8066857,0.59090906,0.43333334,0.5296644,0.77194947,2.8066857,0.5296644,ssn_prehead32_rank15_sdice0.1
34,0.5955224,6.51486,7.8853045,0.32258064,0.4670913,0.61155987,0.5955224,7.885305,0.61155987,ssn_prehead32_rank15_sdice0.1
