,dice,hd95,avd,recall,f1,rmse,best_dice,best_avd,best_rmse,model_name
0,0.65184087,4.1231055,23.275108,0.50793654,0.58339494,0.54112774,0.653151,3.842795,0.53114164,punet_kl0.1_sdice0_l12_al1
1,0.87183046,1.4142135,2.2258048,0.7,0.7125172,0.46979427,0.87315035,0.07800718,0.46276256,punet_kl0.1_sdice0_l12_al1
2,0.5985306,5.0,18.646013,0.8214286,0.8306105,0.60076356,0.6133739,0.94664377,0.5765491,punet_kl0.1_sdice0_l12_al1
3,0.6281437,4.1231055,7.825086,0.625,0.6264501,0.53319365,0.62711364,2.5891829,0.52096814,punet_kl0.1_sdice0_l12_al1
4,0.9092908,1.4142135,0.67664474,0.65,0.65108514,0.4198465,0.9086803,0.30154818,0.418534,punet_kl0.1_sdice0_l12_al1
5,0.565358,7.826189,23.98374,0.3877551,0.5410385,0.58652145,0.59376264,0.73170733,0.570389,punet_kl0.1_sdice0_l12_al1
6,0.7134647,4.1231055,10.428016,0.27272728,0.3529412,0.5212174,0.72068405,1.9455252,0.5085631,punet_kl0.1_sdice0_l12_al1
7,0.58125186,10.314965,24.76828,0.41880342,0.56892294,0.60639983,0.600432,9.268795,0.5878696,punet_kl0.1_sdice0_l12_al1
8,0.62172675,3.6055512,5.7066665,0.725,0.7910621,0.5823392,0.62496644,1.3333334,0.57054526,punet_kl0.1_sdice0_l12_al1
9,0.47481453,8.774964,15.62275,0.375,0.46308726,0.5752157,0.47350097,7.9913607,0.5644958,punet_kl0.1_sdice0_l12_al1
10,0.6061706,2.4494898,18.650793,0.64285713,0.6766917,0.58573467,0.60336536,1.8518518,0.57627714,punet_kl0.1_sdice0_l12_al1
11,0.660967,9.038651,46.69091,0.75,0.47619048,0.5434895,0.7183099,3.7818182,0.5247299,punet_kl0.1_sdice0_l12_al1
12,0.77182686,2.0,0.029351335,0.61538464,0.65497077,0.49996835,0.776124,0.9392427,0.49344343,punet_kl0.1_sdice0_l12_al1
13,0.9102927,1.4142135,7.4717426,0.5652174,0.67772514,0.40096134,0.91128975,0.8269123,0.39987743,punet_kl0.1_sdice0_l12_al1
14,0.87476134,1.0,0.8945544,0.73913044,0.73913044,0.44904208,0.87466973,1.1405568,0.44792137,punet_kl0.1_sdice0_l12_al1
15,0.8257795,3.1622777,1.9102197,0.7692308,0.7692308,0.47041914,0.8263141,1.2416428,0.46619818,punet_kl0.1_sdice0_l12_al1
16,0.75373954,1.4142135,4.552239,0.6666667,0.62650603,0.53053194,0.7567568,0.22388059,0.5260243,punet_kl0.1_sdice0_l12_al1
17,0.7529516,2.236068,14.43038,0.78846157,0.75851995,0.52472156,0.76082504,0.98101264,0.5118589,punet_kl0.1_sdice0_l12_al1
18,0.78282684,2.0,18.75196,0.7804878,0.6784452,0.51593685,0.8057247,1.7089996,0.49746338,punet_kl0.1_sdice0_l12_al1
19,0.74762744,2.236068,4.657958,0.6976744,0.7583183,0.53130406,0.75433373,0.46407703,0.52159595,punet_kl0.1_sdice0_l12_al1
20,0.76571506,2.236068,11.204036,0.3962264,0.5419355,0.5552468,0.7720949,1.5664409,0.5402523,punet_kl0.1_sdice0_l12_al1
21,0.71712494,2.1534443,25.75292,0.46666667,0.5,0.5696217,0.73443985,1.2907192,0.54887736,punet_kl0.1_sdice0_l12_al1
22,0.822827,1.4142135,5.9352093,0.85714287,0.7761194,0.4932402,0.82853717,0.61480254,0.48359576,punet_kl0.1_sdice0_l12_al1
23,0.6325623,8.790396,65.40732,0.71428573,0.5479452,0.5501908,0.68961865,13.105077,0.52509797,punet_kl0.1_sdice0_l12_al1
24,0.80796945,2.236068,23.47826,0.515625,0.5636836,0.56057185,0.8216052,3.6312397,0.53441787,punet_kl0.1_sdice0_l12_al1
25,0.68123394,4.2426405,11.210871,0.2875,0.42376113,0.5917227,0.6829085,3.5428293,0.5778478,punet_kl0.1_sdice0_l12_al1
26,0.79144776,3.0,11.595018,0.25324675,0.3695401,0.53032416,0.7983857,1.4141983,0.51822424,punet_kl0.1_sdice0_l12_al1
27,0.85151166,1.4142135,3.8533716,0.7282609,0.764655,0.4840245,0.8499778,0.65056926,0.48389468,punet_kl0.1_sdice0_l12_al1
28,0.84774536,1.4142135,5.4606366,0.5731707,0.65130293,0.48818046,0.84923136,1.067241,0.48609206,punet_kl0.1_sdice0_l12_al1
29,0.79402333,3.7416575,6.300341,0.24390244,0.35190615,0.5418356,0.79454654,1.5972697,0.5278682,punet_kl0.1_sdice0_l12_al1
30,0.78677595,3.0,9.196925,0.4144144,0.5597469,0.5360384,0.78862983,1.0866684,0.52976143,punet_kl0.1_sdice0_l12_al1
31,0.44234738,10.800441,35.22838,0.2638889,0.3883892,0.709837,0.4680617,23.517979,0.68787396,punet_kl0.1_sdice0_l12_al1
32,0.772392,4.582576,1.9148936,0.8181818,0.7346939,0.51263016,0.7731456,0.0,0.4930322,punet_kl0.1_sdice0_l12_al1
33,0.7571761,3.7416575,23.573006,0.8181818,0.39936608,0.54346895,0.77694905,0.83569854,0.5270418,punet_kl0.1_sdice0_l12_al1
34,0.6194517,5.014853,19.641577,0.4032258,0.5311077,0.58391833,0.6232588,1.9354839,0.5670065,punet_kl0.1_sdice0_l12_al1
