,dice,hd95,avd,recall,f1,rmse,best_dice,best_avd,best_rmse,model_name
0,0.6161407,5.0,31.179039,0.44444445,0.5094664,0.54711723,0.6191313,26.069868,0.53451,punet_kl10_sdice0_l12_al1_wd0
1,0.8675345,1.7320508,4.2539916,0.62,0.64248705,0.47060835,0.86681885,3.04228,0.46944648,punet_kl10_sdice0_l12_al1_wd0
2,0.62580025,4.571532,20.76879,0.78571427,0.78075707,0.5776757,0.6321373,16.12163,0.561192,punet_kl10_sdice0_l12_al1_wd0
3,0.5861492,7.483315,28.020714,0.5,0.56179774,0.54799235,0.58644176,22.612198,0.53520185,punet_kl10_sdice0_l12_al1_wd0
4,0.90610224,1.4142135,5.589674,0.75,0.7058824,0.42014766,0.9071207,4.5269003,0.42099357,punet_kl10_sdice0_l12_al1_wd0
5,0.52554744,6.0827627,32.92683,0.42857143,0.5753425,0.59926474,0.5282124,28.536585,0.5852635,punet_kl10_sdice0_l12_al1_wd0
6,0.6902357,3.6055512,15.097277,0.36363637,0.43781096,0.52939606,0.6910638,12.918287,0.5134694,punet_kl10_sdice0_l12_al1_wd0
7,0.49375,10.314965,51.69928,0.35897437,0.5108108,0.65507513,0.5010295,49.94851,0.63686556,punet_kl10_sdice0_l12_al1_wd0
8,0.6016633,7.1175146,14.026667,0.65,0.7231353,0.60533506,0.60218674,9.76,0.5866255,punet_kl10_sdice0_l12_al1_wd0
9,0.4074074,16.093477,60.043198,0.20833333,0.32210836,0.6091719,0.41476986,57.667385,0.58596927,punet_kl10_sdice0_l12_al1_wd0
10,0.5982444,2.4494898,4.100529,0.5714286,0.5797101,0.5979024,0.602376,0.13227513,0.5675054,punet_kl10_sdice0_l12_al1_wd0
11,0.664193,11.502099,35.2,0.7083333,0.39567748,0.5459048,0.6830601,12.945454,0.5072702,punet_kl10_sdice0_l12_al1_wd0
12,0.77140534,2.236068,19.34253,0.5641026,0.67873913,0.51156616,0.7770883,15.526856,0.49951744,punet_kl10_sdice0_l12_al1_wd0
13,0.9116917,1.4142135,8.556394,0.5797101,0.6770099,0.40583372,0.91357166,7.0636563,0.40541103,punet_kl10_sdice0_l12_al1_wd0
14,0.8673814,1.4142135,11.215476,0.6086956,0.657277,0.45825207,0.8681871,8.788997,0.4564547,punet_kl10_sdice0_l12_al1_wd0
15,0.800276,2.4494898,15.409105,0.7307692,0.74509805,0.49939921,0.8054283,12.320917,0.49405125,punet_kl10_sdice0_l12_al1_wd0
16,0.7483778,2.0,7.0149255,0.75,0.5714286,0.5308111,0.7584396,0.22388059,0.5097463,punet_kl10_sdice0_l12_al1_wd0
17,0.7457976,3.0,15.50633,0.59615386,0.67172265,0.5334771,0.7519406,12.468354,0.52261925,punet_kl10_sdice0_l12_al1_wd0
18,0.80220044,1.7320508,3.3396049,0.68292683,0.67079717,0.49648917,0.80330366,1.661963,0.48663732,punet_kl10_sdice0_l12_al1_wd0
19,0.7349678,3.3166249,15.623926,0.6395349,0.7051282,0.54043347,0.7373238,12.203506,0.5332798,punet_kl10_sdice0_l12_al1_wd0
20,0.7440339,2.828427,21.439001,0.3773585,0.50295097,0.56674874,0.7462468,18.730917,0.55526376,punet_kl10_sdice0_l12_al1_wd0
21,0.70294213,1.7320508,5.7160416,0.46666667,0.54077256,0.57844675,0.70752954,2.4585125,0.5617595,punet_kl10_sdice0_l12_al1_wd0
22,0.8246474,1.4142135,4.670135,0.78571427,0.71374047,0.49369588,0.82649106,1.1350201,0.4855028,punet_kl10_sdice0_l12_al1_wd0
23,0.680203,2.9056349,32.585598,0.6785714,0.6454353,0.55393106,0.69282514,10.625738,0.5040235,punet_kl10_sdice0_l12_al1_wd0
24,0.81460947,2.236068,14.935588,0.546875,0.6272401,0.5454777,0.81890196,6.336554,0.52782345,punet_kl10_sdice0_l12_al1_wd0
25,0.6539175,5.233955,29.968454,0.2625,0.40708557,0.5996751,0.66115934,26.69255,0.5918934,punet_kl10_sdice0_l12_al1_wd0
26,0.8106922,3.4641016,4.432562,0.25974026,0.38674033,0.51320696,0.81259865,2.2514598,0.50435597,punet_kl10_sdice0_l12_al1_wd0
27,0.8514612,1.4142135,3.9200966,0.75,0.78367347,0.48246747,0.85115784,2.126861,0.47900295,punet_kl10_sdice0_l12_al1_wd0
28,0.84803087,1.4142135,3.8669538,0.69512194,0.70911556,0.48756608,0.85027057,1.0289544,0.48482755,punet_kl10_sdice0_l12_al1_wd0
29,0.77798605,4.582576,17.924915,0.2195122,0.33962265,0.52856404,0.7799577,15.952219,0.5289449,punet_kl10_sdice0_l12_al1_wd0
30,0.7785978,3.0,8.463645,0.45045045,0.5841627,0.5427277,0.7797535,5.733722,0.5338425,punet_kl10_sdice0_l12_al1_wd0
31,0.41875747,13.503587,37.317783,0.2777778,0.40983605,0.71971697,0.42068157,34.596695,0.69760686,punet_kl10_sdice0_l12_al1_wd0
32,0.7434002,8.191025,1.4893616,0.8181818,0.5198556,0.5154087,0.7552527,0.8510638,0.49051774,punet_kl10_sdice0_l12_al1_wd0
33,0.74507517,4.0,16.11479,0.8636364,0.41276306,0.55463564,0.75128776,5.0930305,0.5284899,punet_kl10_sdice0_l12_al1_wd0
34,0.6216216,7.01066,6.8817205,0.37096775,0.53460115,0.6010308,0.62355345,0.7885304,0.5758351,punet_kl10_sdice0_l12_al1_wd0
