,dice,hd95,avd,recall,f1,rmse,best_dice,best_avd,best_rmse,model_name
0,0.5841424,4.8989797,38.0786,0.46031746,0.5632546,0.5868746,0.5794996,37.685593,0.5833633,punet_kl1_sdice0_l6_al1
1,0.86766994,1.4142135,0.42643923,0.72,0.7294398,0.47542852,0.8684356,0.27042487,0.4706288,punet_kl1_sdice0_l6_al1
2,0.6024933,4.690416,18.21572,0.73214287,0.7751519,0.6102338,0.6004108,18.44521,0.6055131,punet_kl1_sdice0_l6_al1
3,0.60081273,5.5468936,15.93786,0.5833333,0.5691057,0.5460102,0.5998673,15.880322,0.5391247,punet_kl1_sdice0_l6_al1
4,0.9069522,1.4142135,2.2726438,0.7,0.6666667,0.42591804,0.90753627,0.16916119,0.4231728,punet_kl1_sdice0_l6_al1
5,0.49756098,7.483315,50.0,0.36734694,0.5070422,0.61469275,0.5010707,48.13008,0.60536,punet_kl1_sdice0_l6_al1
6,0.67341304,3.6599936,30.817122,0.36363637,0.48,0.55372334,0.67218393,30.739298,0.5519016,punet_kl1_sdice0_l6_al1
7,0.5459352,9.433981,44.181255,0.3931624,0.53373444,0.62609226,0.54809916,44.23275,0.6225644,punet_kl1_sdice0_l6_al1
8,0.6218661,2.0,6.346667,0.8125,0.82663465,0.5992915,0.6290366,0.16,0.58472294,punet_kl1_sdice0_l6_al1
9,0.47744876,11.357817,41.97264,0.33333334,0.4385965,0.57602906,0.47482678,42.908566,0.5710819,punet_kl1_sdice0_l6_al1
10,0.5983718,2.0,5.026455,0.64285713,0.63380283,0.60174525,0.5979661,4.89418,0.5862539,punet_kl1_sdice0_l6_al1
11,0.72333336,10.98178,18.181818,0.7083333,0.38746437,0.5115098,0.7539421,1.6727272,0.48756513,punet_kl1_sdice0_l6_al1
12,0.7908517,2.236068,13.912533,0.64102566,0.6982392,0.49477148,0.79145056,13.2374525,0.489689,punet_kl1_sdice0_l6_al1
13,0.9168753,1.0,4.854082,0.5942029,0.69264734,0.3946365,0.9170992,4.4567347,0.39425275,punet_kl1_sdice0_l6_al1
14,0.8794261,1.0,5.1548696,0.7826087,0.78018576,0.4424925,0.87904793,4.5622272,0.4408187,punet_kl1_sdice0_l6_al1
15,0.81782615,3.1622777,12.830309,0.7692308,0.75949365,0.47359857,0.8199966,12.129894,0.4733901,punet_kl1_sdice0_l6_al1
16,0.7649871,1.7320508,2.9104478,0.6666667,0.5473684,0.51198834,0.77403843,0.37313432,0.49949935,punet_kl1_sdice0_l6_al1
17,0.77759194,2.236068,10.759494,0.6730769,0.71716857,0.51300263,0.7769953,11.265822,0.51253664,punet_kl1_sdice0_l6_al1
18,0.8063383,1.4142135,0.8623393,0.8292683,0.76345336,0.5044477,0.807677,0.26654124,0.49509186,punet_kl1_sdice0_l6_al1
19,0.7606428,2.236068,1.0656583,0.7093023,0.7374192,0.5258531,0.76426095,0.08594018,0.5157601,punet_kl1_sdice0_l6_al1
20,0.7574699,2.4494898,13.845745,0.35849056,0.50932986,0.5606262,0.7592422,12.916501,0.55808705,punet_kl1_sdice0_l6_al1
21,0.72567374,1.4142135,16.656424,0.4888889,0.5594615,0.5692839,0.73550296,3.0731409,0.5584471,punet_kl1_sdice0_l6_al1
22,0.82519495,1.4142135,2.908489,0.83928573,0.8108691,0.49596545,0.8251517,2.151809,0.4912873,punet_kl1_sdice0_l6_al1
23,0.65030104,6.1399183,54.899647,0.6785714,0.5444126,0.5805783,0.68467534,27.272728,0.5546084,punet_kl1_sdice0_l6_al1
24,0.7974532,2.8970563,22.568438,0.546875,0.58931184,0.5686017,0.8125548,11.376812,0.5435642,punet_kl1_sdice0_l6_al1
25,0.68166137,4.1231055,24.144625,0.2625,0.4057187,0.58726454,0.68248934,24.144627,0.5869083,punet_kl1_sdice0_l6_al1
26,0.8210885,2.3107655,2.4484627,0.29220778,0.4180668,0.5080946,0.822443,0.1688595,0.50202066,punet_kl1_sdice0_l6_al1
27,0.8556934,1.4142135,2.7065349,0.7717391,0.7977528,0.4797161,0.85533506,2.272822,0.47732642,punet_kl1_sdice0_l6_al1
28,0.85165894,1.4142135,4.264178,0.64634144,0.7101263,0.48693877,0.8516856,3.809524,0.48702705,punet_kl1_sdice0_l6_al1
29,0.78453237,3.3166249,10.238908,0.2682927,0.388604,0.5390765,0.7855451,9.788396,0.53585976,punet_kl1_sdice0_l6_al1
30,0.78333485,3.0,9.5768175,0.4054054,0.5561277,0.53961706,0.7852579,9.188091,0.5375817,punet_kl1_sdice0_l6_al1
31,0.41333753,6.708204,45.52964,0.31944445,0.45561263,0.7155342,0.4166404,45.821186,0.7107338,punet_kl1_sdice0_l6_al1
32,0.74518204,4.1231055,1.2765957,0.8181818,0.6457399,0.50412184,0.7487792,0.31914893,0.49797234,punet_kl1_sdice0_l6_al1
33,0.7793434,2.828427,7.016714,0.72727275,0.42477876,0.53305125,0.7847646,0.4257332,0.521531,punet_kl1_sdice0_l6_al1
34,0.6237095,5.8309517,1.3620071,0.33870968,0.4648589,0.6018155,0.6285073,0.7885304,0.59633696,punet_kl1_sdice0_l6_al1
