,dice,hd95,avd,recall,f1,rmse,best_dice,best_avd,best_rmse,model_name
0,0.62088335,4.1231055,28.951965,0.47619048,0.59490085,0.567417,0.6289937,0.9170306,0.5517614,ssn_prehead32_rank5_sdice0
1,0.8694947,1.4142135,1.2741172,0.64,0.63349384,0.46896234,0.86675316,1.3105205,0.46744204,ssn_prehead32_rank5_sdice0
2,0.6185567,6.3952675,27.481354,0.75,0.75728154,0.5846385,0.62793475,4.962708,0.5905762,ssn_prehead32_rank5_sdice0
3,0.6414634,4.0,11.27733,0.5416667,0.543554,0.553218,0.6221979,10.471807,0.5553519,ssn_prehead32_rank5_sdice0
4,0.9120262,1.4142135,2.7396758,0.7,0.6978193,0.41385335,0.91498417,0.6472254,0.41311517,ssn_prehead32_rank5_sdice0
5,0.54480654,7.2971997,40.325203,0.3265306,0.4712182,0.6294841,0.5887446,6.5853653,0.5451995,ssn_prehead32_rank5_sdice0
6,0.7012302,3.6055512,22.879377,0.3030303,0.40268457,0.56119424,0.71840715,3.4241245,0.53571665,ssn_prehead32_rank5_sdice0
7,0.54587007,11.18034,42.276005,0.36752138,0.5095526,0.6295131,0.6091954,11.84346,0.5697253,ssn_prehead32_rank5_sdice0
8,0.629846,5.004951,0.85333335,0.7,0.76450515,0.5930425,0.62855667,3.04,0.57431084,ssn_prehead32_rank5_sdice0
9,0.45118192,19.211973,59.899208,0.25,0.37869823,0.5806101,0.49787235,5.8315334,0.55629104,ssn_prehead32_rank5_sdice0
10,0.6015424,2.0,5.820106,0.78571427,0.743662,0.6205468,0.61145705,0.26455027,0.56174296,ssn_prehead32_rank5_sdice0
11,0.6903891,13.065209,18.690908,0.7083333,0.49544626,0.5372811,0.72740906,6.0363636,0.51834357,ssn_prehead32_rank5_sdice0
12,0.79344887,2.0,15.4094515,0.5641026,0.6688698,0.49776104,0.7982896,0.9392427,0.49109396,ssn_prehead32_rank5_sdice0
13,0.90128374,1.4142135,13.864203,0.49275362,0.6502113,0.41654718,0.91827446,1.098075,0.39209205,ssn_prehead32_rank5_sdice0
14,0.88581073,1.4142135,7.872079,0.6956522,0.7218045,0.44044697,0.88206345,2.3146596,0.43952116,ssn_prehead32_rank5_sdice0
15,0.8341505,3.0,11.684177,0.7692308,0.7966457,0.45917746,0.83301675,0.25469595,0.45941198,ssn_prehead32_rank5_sdice0
16,0.7757116,2.236068,3.358209,0.5416667,0.5518868,0.5180455,0.772744,2.6119404,0.51505715,ssn_prehead32_rank5_sdice0
17,0.76296055,3.0,5.886076,0.6730769,0.72045153,0.52717423,0.7526772,5.221519,0.5359347,ssn_prehead32_rank5_sdice0
18,0.8007184,1.4142135,9.51709,0.7804878,0.74210316,0.5124443,0.803211,1.1759173,0.50409186,ssn_prehead32_rank5_sdice0
19,0.7694233,2.236068,7.751805,0.6627907,0.76339287,0.5227257,0.76024294,0.94534206,0.5232398,ssn_prehead32_rank5_sdice0
20,0.74188584,4.2426405,27.399443,0.3018868,0.45460162,0.58304733,0.7768366,1.6991903,0.5382134,ssn_prehead32_rank5_sdice0
21,0.75107175,2.236068,15.05839,0.51111114,0.5880682,0.55217636,0.74123335,3.318992,0.5555399,ssn_prehead32_rank5_sdice0
22,0.82884896,1.4142135,0.8157957,0.8035714,0.77047664,0.49353072,0.82491726,3.558761,0.4954844,ssn_prehead32_rank5_sdice0
23,0.6317568,5.0990195,79.574974,0.75,0.6122449,0.5980982,0.6712329,10.271547,0.5647498,ssn_prehead32_rank5_sdice0
24,0.81507486,2.236068,15.563607,0.515625,0.5745375,0.5504142,0.81848675,1.9323671,0.53343856,ssn_prehead32_rank5_sdice0
25,0.6291013,5.0990195,29.895657,0.275,0.40546075,0.6296287,0.6754208,3.2759042,0.60068977,ssn_prehead32_rank5_sdice0
26,0.8115161,3.0,1.5619503,0.25324675,0.3745303,0.512479,0.81363857,4.6999226,0.5099052,ssn_prehead32_rank5_sdice0
27,0.85415804,1.4142135,8.386505,0.76086956,0.8133313,0.48027745,0.8558134,1.0384086,0.48222512,ssn_prehead32_rank5_sdice0
28,0.85240847,1.4142135,10.533621,0.63414633,0.69561136,0.48081532,0.8507389,0.8135918,0.4817879,ssn_prehead32_rank5_sdice0
29,0.78895533,4.1231055,12.860068,0.2195122,0.34204274,0.52933043,0.7907696,1.208191,0.5254687,ssn_prehead32_rank5_sdice0
30,0.7805881,3.0,15.222193,0.4234234,0.5831756,0.54731125,0.78529423,3.1893275,0.53625107,ssn_prehead32_rank5_sdice0
31,0.4315466,9.110434,57.677357,0.29166666,0.42,0.66981184,0.48837876,11.078717,0.63982725,ssn_prehead32_rank5_sdice0
32,0.76442564,1.4142135,0.9574468,0.8181818,0.62068963,0.50890195,0.7649619,4.4680853,0.49408117,ssn_prehead32_rank5_sdice0
33,0.80166984,2.236068,7.7420373,0.8181818,0.5587583,0.51648444,0.8025527,2.601703,0.51379716,ssn_prehead32_rank5_sdice0
34,0.6519263,5.3851647,13.978495,0.37096775,0.5158002,0.6045602,0.65417594,4.659498,0.5918676,ssn_prehead32_rank5_sdice0
